"","year","state","county_name","county_fips","party","candidatevotes","totalvotes"
"1",2000,"ALABAMA","AUTAUGA",1001,"DEMOCRAT",4942,17208
"2",2000,"ALABAMA","AUTAUGA",1001,"REPUBLICAN",11993,17208
"5",2000,"ALABAMA","BALDWIN",1003,"DEMOCRAT",13997,56480
"6",2000,"ALABAMA","BALDWIN",1003,"REPUBLICAN",40872,56480
"9",2000,"ALABAMA","BARBOUR",1005,"DEMOCRAT",5188,10395
"10",2000,"ALABAMA","BARBOUR",1005,"REPUBLICAN",5096,10395
"13",2000,"ALABAMA","BIBB",1007,"DEMOCRAT",2710,7101
"14",2000,"ALABAMA","BIBB",1007,"REPUBLICAN",4273,7101
"17",2000,"ALABAMA","BLOUNT",1009,"DEMOCRAT",4977,17973
"18",2000,"ALABAMA","BLOUNT",1009,"REPUBLICAN",12667,17973
"21",2000,"ALABAMA","BULLOCK",1011,"DEMOCRAT",3395,4904
"22",2000,"ALABAMA","BULLOCK",1011,"REPUBLICAN",1433,4904
"25",2000,"ALABAMA","BUTLER",1013,"DEMOCRAT",3606,7803
"26",2000,"ALABAMA","BUTLER",1013,"REPUBLICAN",4127,7803
"29",2000,"ALABAMA","CALHOUN",1015,"DEMOCRAT",15781,38909
"30",2000,"ALABAMA","CALHOUN",1015,"REPUBLICAN",22306,38909
"33",2000,"ALABAMA","CHAMBERS",1017,"DEMOCRAT",5616,11834
"34",2000,"ALABAMA","CHAMBERS",1017,"REPUBLICAN",6037,11834
"37",2000,"ALABAMA","CHEROKEE",1019,"DEMOCRAT",3497,7823
"38",2000,"ALABAMA","CHEROKEE",1019,"REPUBLICAN",4154,7823
"41",2000,"ALABAMA","CHILTON",1021,"DEMOCRAT",4806,15092
"42",2000,"ALABAMA","CHILTON",1021,"REPUBLICAN",10066,15092
"45",2000,"ALABAMA","CHOCTAW",1023,"DEMOCRAT",3707,7374
"46",2000,"ALABAMA","CHOCTAW",1023,"REPUBLICAN",3600,7374
"49",2000,"ALABAMA","CLARKE",1025,"DEMOCRAT",4679,10752
"50",2000,"ALABAMA","CLARKE",1025,"REPUBLICAN",5988,10752
"53",2000,"ALABAMA","CLAY",1027,"DEMOCRAT",2045,5883
"54",2000,"ALABAMA","CLAY",1027,"REPUBLICAN",3719,5883
"57",2000,"ALABAMA","CLEBURNE",1029,"DEMOCRAT",1664,5092
"58",2000,"ALABAMA","CLEBURNE",1029,"REPUBLICAN",3333,5092
"61",2000,"ALABAMA","COFFEE",1031,"DEMOCRAT",5220,15434
"62",2000,"ALABAMA","COFFEE",1031,"REPUBLICAN",9938,15434
"65",2000,"ALABAMA","COLBERT",1033,"DEMOCRAT",10543,21532
"66",2000,"ALABAMA","COLBERT",1033,"REPUBLICAN",10518,21532
"69",2000,"ALABAMA","CONECUH",1035,"DEMOCRAT",2783,5551
"70",2000,"ALABAMA","CONECUH",1035,"REPUBLICAN",2699,5551
"73",2000,"ALABAMA","COOSA",1037,"DEMOCRAT",2104,4567
"74",2000,"ALABAMA","COOSA",1037,"REPUBLICAN",2382,4567
"77",2000,"ALABAMA","COVINGTON",1039,"DEMOCRAT",4440,13613
"78",2000,"ALABAMA","COVINGTON",1039,"REPUBLICAN",8961,13613
"81",2000,"ALABAMA","CRENSHAW",1041,"DEMOCRAT",1934,4795
"82",2000,"ALABAMA","CRENSHAW",1041,"REPUBLICAN",2793,4795
"85",2000,"ALABAMA","CULLMAN",1043,"DEMOCRAT",9758,29525
"86",2000,"ALABAMA","CULLMAN",1043,"REPUBLICAN",19157,29525
"89",2000,"ALABAMA","DALE",1045,"DEMOCRAT",4906,15806
"90",2000,"ALABAMA","DALE",1045,"REPUBLICAN",10593,15806
"93",2000,"ALABAMA","DALLAS",1047,"DEMOCRAT",10967,18464
"94",2000,"ALABAMA","DALLAS",1047,"REPUBLICAN",7360,18464
"97",2000,"ALABAMA","DEKALB",1049,"DEMOCRAT",7056,20285
"98",2000,"ALABAMA","DEKALB",1049,"REPUBLICAN",12827,20285
"101",2000,"ALABAMA","ELMORE",1051,"DEMOCRAT",6652,23804
"102",2000,"ALABAMA","ELMORE",1051,"REPUBLICAN",16777,23804
"105",2000,"ALABAMA","ESCAMBIA",1053,"DEMOCRAT",4523,11660
"106",2000,"ALABAMA","ESCAMBIA",1053,"REPUBLICAN",6975,11660
"109",2000,"ALABAMA","ETOWAH",1055,"DEMOCRAT",17433,39348
"110",2000,"ALABAMA","ETOWAH",1055,"REPUBLICAN",21087,39348
"113",2000,"ALABAMA","FAYETTE",1057,"DEMOCRAT",3064,7808
"114",2000,"ALABAMA","FAYETTE",1057,"REPUBLICAN",4582,7808
"117",2000,"ALABAMA","FRANKLIN",1059,"DEMOCRAT",4793,11103
"118",2000,"ALABAMA","FRANKLIN",1059,"REPUBLICAN",6119,11103
"121",2000,"ALABAMA","GENEVA",1061,"DEMOCRAT",2769,9559
"122",2000,"ALABAMA","GENEVA",1061,"REPUBLICAN",6588,9559
"125",2000,"ALABAMA","GREENE",1063,"DEMOCRAT",3504,4396
"126",2000,"ALABAMA","GREENE",1063,"REPUBLICAN",850,4396
"129",2000,"ALABAMA","HALE",1065,"DEMOCRAT",4652,7731
"130",2000,"ALABAMA","HALE",1065,"REPUBLICAN",2984,7731
"133",2000,"ALABAMA","HENRY",1067,"DEMOCRAT",2782,6932
"134",2000,"ALABAMA","HENRY",1067,"REPUBLICAN",4054,6932
"137",2000,"ALABAMA","HOUSTON",1069,"DEMOCRAT",9412,32057
"138",2000,"ALABAMA","HOUSTON",1069,"REPUBLICAN",22150,32057
"141",2000,"ALABAMA","JACKSON",1071,"DEMOCRAT",9066,17906
"142",2000,"ALABAMA","JACKSON",1071,"REPUBLICAN",8475,17906
"145",2000,"ALABAMA","JEFFERSON",1073,"DEMOCRAT",129889,273763
"146",2000,"ALABAMA","JEFFERSON",1073,"REPUBLICAN",138491,273763
"149",2000,"ALABAMA","LAMAR",1075,"DEMOCRAT",2653,7249
"150",2000,"ALABAMA","LAMAR",1075,"REPUBLICAN",4470,7249
"153",2000,"ALABAMA","LAUDERDALE",1077,"DEMOCRAT",13875,32137
"154",2000,"ALABAMA","LAUDERDALE",1077,"REPUBLICAN",17478,32137
"157",2000,"ALABAMA","LAWRENCE",1079,"DEMOCRAT",6296,12185
"158",2000,"ALABAMA","LAWRENCE",1079,"REPUBLICAN",5671,12185
"161",2000,"ALABAMA","LEE",1081,"DEMOCRAT",14574,38264
"162",2000,"ALABAMA","LEE",1081,"REPUBLICAN",22433,38264
"165",2000,"ALABAMA","LIMESTONE",1083,"DEMOCRAT",8992,23634
"166",2000,"ALABAMA","LIMESTONE",1083,"REPUBLICAN",14204,23634
"169",2000,"ALABAMA","LOWNDES",1085,"DEMOCRAT",4557,6243
"170",2000,"ALABAMA","LOWNDES",1085,"REPUBLICAN",1638,6243
"173",2000,"ALABAMA","MACON",1087,"DEMOCRAT",7665,8831
"174",2000,"ALABAMA","MACON",1087,"REPUBLICAN",1091,8831
"177",2000,"ALABAMA","MADISON",1089,"DEMOCRAT",48199,113318
"178",2000,"ALABAMA","MADISON",1089,"REPUBLICAN",62151,113318
"181",2000,"ALABAMA","MARENGO",1091,"DEMOCRAT",4841,9608
"182",2000,"ALABAMA","MARENGO",1091,"REPUBLICAN",4690,9608
"185",2000,"ALABAMA","MARION",1093,"DEMOCRAT",4600,11756
"186",2000,"ALABAMA","MARION",1093,"REPUBLICAN",6910,11756
"189",2000,"ALABAMA","MARSHALL",1095,"DEMOCRAT",10381,27989
"190",2000,"ALABAMA","MARSHALL",1095,"REPUBLICAN",17084,27989
"193",2000,"ALABAMA","MOBILE",1097,"DEMOCRAT",58640,139745
"194",2000,"ALABAMA","MOBILE",1097,"REPUBLICAN",78162,139745
"197",2000,"ALABAMA","MONROE",1099,"DEMOCRAT",3741,8951
"198",2000,"ALABAMA","MONROE",1099,"REPUBLICAN",5153,8951
"201",2000,"ALABAMA","MONTGOMERY",1101,"DEMOCRAT",40371,80328
"202",2000,"ALABAMA","MONTGOMERY",1101,"REPUBLICAN",38827,80328
"205",2000,"ALABAMA","MORGAN",1103,"DEMOCRAT",16060,42681
"206",2000,"ALABAMA","MORGAN",1103,"REPUBLICAN",25774,42681
"209",2000,"ALABAMA","PERRY",1105,"DEMOCRAT",4020,5787
"210",2000,"ALABAMA","PERRY",1105,"REPUBLICAN",1732,5787
"213",2000,"ALABAMA","PICKENS",1107,"DEMOCRAT",4143,8540
"214",2000,"ALABAMA","PICKENS",1107,"REPUBLICAN",4306,8540
"217",2000,"ALABAMA","PIKE",1109,"DEMOCRAT",4357,10544
"218",2000,"ALABAMA","PIKE",1109,"REPUBLICAN",6058,10544
"221",2000,"ALABAMA","RANDOLPH",1111,"DEMOCRAT",3094,7919
"222",2000,"ALABAMA","RANDOLPH",1111,"REPUBLICAN",4666,7919
"225",2000,"ALABAMA","RUSSELL",1113,"DEMOCRAT",8396,14775
"226",2000,"ALABAMA","RUSSELL",1113,"REPUBLICAN",6198,14775
"229",2000,"ALABAMA","ST. CLAIR",1115,"DEMOCRAT",6485,24090
"230",2000,"ALABAMA","ST. CLAIR",1115,"REPUBLICAN",17117,24090
"233",2000,"ALABAMA","SHELBY",1117,"DEMOCRAT",13183,62128
"234",2000,"ALABAMA","SHELBY",1117,"REPUBLICAN",47651,62128
"237",2000,"ALABAMA","SUMTER",1119,"DEMOCRAT",4415,6088
"238",2000,"ALABAMA","SUMTER",1119,"REPUBLICAN",1629,6088
"241",2000,"ALABAMA","TALLADEGA",1121,"DEMOCRAT",11264,25451
"242",2000,"ALABAMA","TALLADEGA",1121,"REPUBLICAN",13807,25451
"245",2000,"ALABAMA","TALLAPOOSA",1123,"DEMOCRAT",6183,16253
"246",2000,"ALABAMA","TALLAPOOSA",1123,"REPUBLICAN",9805,16253
"249",2000,"ALABAMA","TUSCALOOSA",1125,"DEMOCRAT",24614,60114
"250",2000,"ALABAMA","TUSCALOOSA",1125,"REPUBLICAN",34003,60114
"253",2000,"ALABAMA","WALKER",1127,"DEMOCRAT",11621,25641
"254",2000,"ALABAMA","WALKER",1127,"REPUBLICAN",13486,25641
"257",2000,"ALABAMA","WASHINGTON",1129,"DEMOCRAT",3386,7596
"258",2000,"ALABAMA","WASHINGTON",1129,"REPUBLICAN",4117,7596
"261",2000,"ALABAMA","WILCOX",1131,"DEMOCRAT",3444,5126
"262",2000,"ALABAMA","WILCOX",1131,"REPUBLICAN",1661,5126
"265",2000,"ALABAMA","WINSTON",1133,"DEMOCRAT",2692,9318
"266",2000,"ALABAMA","WINSTON",1133,"REPUBLICAN",6413,9318
"269",2000,"ARIZONA","APACHE",4001,"DEMOCRAT",13025,19456
"270",2000,"ARIZONA","APACHE",4001,"REPUBLICAN",5947,19456
"273",2000,"ARIZONA","COCHISE",4003,"DEMOCRAT",13360,33241
"274",2000,"ARIZONA","COCHISE",4003,"REPUBLICAN",18180,33241
"277",2000,"ARIZONA","COCONINO",4005,"DEMOCRAT",20280,40883
"278",2000,"ARIZONA","COCONINO",4005,"REPUBLICAN",17562,40883
"281",2000,"ARIZONA","GILA",4007,"DEMOCRAT",7700,17736
"282",2000,"ARIZONA","GILA",4007,"REPUBLICAN",9158,17736
"285",2000,"ARIZONA","GRAHAM",4009,"DEMOCRAT",3355,9664
"286",2000,"ARIZONA","GRAHAM",4009,"REPUBLICAN",6007,9664
"289",2000,"ARIZONA","GREENLEE",4011,"DEMOCRAT",1216,2960
"290",2000,"ARIZONA","GREENLEE",4011,"REPUBLICAN",1619,2960
"293",2000,"ARIZONA","LA PAZ",4012,"DEMOCRAT",1769,4483
"294",2000,"ARIZONA","LA PAZ",4012,"REPUBLICAN",2543,4483
"297",2000,"ARIZONA","MARICOPA",4013,"DEMOCRAT",386683,901699
"298",2000,"ARIZONA","MARICOPA",4013,"REPUBLICAN",479967,901699
"301",2000,"ARIZONA","MOHAVE",4015,"DEMOCRAT",17470,44141
"302",2000,"ARIZONA","MOHAVE",4015,"REPUBLICAN",24386,44141
"305",2000,"ARIZONA","NAVAJO",4017,"DEMOCRAT",11794,25147
"306",2000,"ARIZONA","NAVAJO",4017,"REPUBLICAN",12386,25147
"309",2000,"ARIZONA","PIMA",4019,"DEMOCRAT",147688,287640
"310",2000,"ARIZONA","PIMA",4019,"REPUBLICAN",124579,287640
"313",2000,"ARIZONA","PINAL",4021,"DEMOCRAT",19650,41290
"314",2000,"ARIZONA","PINAL",4021,"REPUBLICAN",20122,41290
"317",2000,"ARIZONA","SANTA CRUZ",4023,"DEMOCRAT",5233,8893
"318",2000,"ARIZONA","SANTA CRUZ",4023,"REPUBLICAN",3344,8893
"321",2000,"ARIZONA","YAVAPAI",4025,"DEMOCRAT",24063,68228
"322",2000,"ARIZONA","YAVAPAI",4025,"REPUBLICAN",40144,68228
"325",2000,"ARIZONA","YUMA",4027,"DEMOCRAT",12055,28652
"326",2000,"ARIZONA","YUMA",4027,"REPUBLICAN",15708,28652
"329",2000,"ARKANSAS","ARKANSAS",5001,"DEMOCRAT",2877,6372
"330",2000,"ARKANSAS","ARKANSAS",5001,"REPUBLICAN",3353,6372
"333",2000,"ARKANSAS","ASHLEY",5003,"DEMOCRAT",4253,8271
"334",2000,"ARKANSAS","ASHLEY",5003,"REPUBLICAN",3876,8271
"337",2000,"ARKANSAS","BAXTER",5005,"DEMOCRAT",6516,16708
"338",2000,"ARKANSAS","BAXTER",5005,"REPUBLICAN",9538,16708
"341",2000,"ARKANSAS","BENTON",5007,"DEMOCRAT",17277,53646
"342",2000,"ARKANSAS","BENTON",5007,"REPUBLICAN",34838,53646
"345",2000,"ARKANSAS","BOONE",5009,"DEMOCRAT",4493,13635
"346",2000,"ARKANSAS","BOONE",5009,"REPUBLICAN",8569,13635
"349",2000,"ARKANSAS","BRADLEY",5011,"DEMOCRAT",2122,3979
"350",2000,"ARKANSAS","BRADLEY",5011,"REPUBLICAN",1793,3979
"353",2000,"ARKANSAS","CALHOUN",5013,"DEMOCRAT",1017,2185
"354",2000,"ARKANSAS","CALHOUN",5013,"REPUBLICAN",1128,2185
"357",2000,"ARKANSAS","CARROLL",5015,"DEMOCRAT",3595,9590
"358",2000,"ARKANSAS","CARROLL",5015,"REPUBLICAN",5556,9590
"361",2000,"ARKANSAS","CHICOT",5017,"DEMOCRAT",2820,4452
"362",2000,"ARKANSAS","CHICOT",5017,"REPUBLICAN",1564,4452
"365",2000,"ARKANSAS","CLARK",5019,"DEMOCRAT",4661,8626
"366",2000,"ARKANSAS","CLARK",5019,"REPUBLICAN",3776,8626
"369",2000,"ARKANSAS","CLAY",5021,"DEMOCRAT",3527,5900
"370",2000,"ARKANSAS","CLAY",5021,"REPUBLICAN",2254,5900
"373",2000,"ARKANSAS","CLEBURNE",5023,"DEMOCRAT",4120,10207
"374",2000,"ARKANSAS","CLEBURNE",5023,"REPUBLICAN",5730,10207
"377",2000,"ARKANSAS","CLEVELAND",5025,"DEMOCRAT",1414,3181
"378",2000,"ARKANSAS","CLEVELAND",5025,"REPUBLICAN",1678,3181
"381",2000,"ARKANSAS","COLUMBIA",5027,"DEMOCRAT",4003,9307
"382",2000,"ARKANSAS","COLUMBIA",5027,"REPUBLICAN",5018,9307
"385",2000,"ARKANSAS","CONWAY",5029,"DEMOCRAT",3496,7234
"386",2000,"ARKANSAS","CONWAY",5029,"REPUBLICAN",3545,7234
"389",2000,"ARKANSAS","CRAIGHEAD",5031,"DEMOCRAT",12376,25157
"390",2000,"ARKANSAS","CRAIGHEAD",5031,"REPUBLICAN",12158,25157
"393",2000,"ARKANSAS","CRAWFORD",5033,"DEMOCRAT",6288,17625
"394",2000,"ARKANSAS","CRAWFORD",5033,"REPUBLICAN",10804,17625
"397",2000,"ARKANSAS","CRITTENDEN",5035,"DEMOCRAT",7224,13234
"398",2000,"ARKANSAS","CRITTENDEN",5035,"REPUBLICAN",5857,13234
"401",2000,"ARKANSAS","CROSS",5037,"DEMOCRAT",3096,6215
"402",2000,"ARKANSAS","CROSS",5037,"REPUBLICAN",3033,6215
"405",2000,"ARKANSAS","DALLAS",5039,"DEMOCRAT",1710,3325
"406",2000,"ARKANSAS","DALLAS",5039,"REPUBLICAN",1571,3325
"409",2000,"ARKANSAS","DESHA",5041,"DEMOCRAT",2776,4495
"410",2000,"ARKANSAS","DESHA",5041,"REPUBLICAN",1603,4495
"413",2000,"ARKANSAS","DREW",5043,"DEMOCRAT",3060,5922
"414",2000,"ARKANSAS","DREW",5043,"REPUBLICAN",2756,5922
"417",2000,"ARKANSAS","FAULKNER",5045,"DEMOCRAT",11950,29216
"418",2000,"ARKANSAS","FAULKNER",5045,"REPUBLICAN",16055,29216
"421",2000,"ARKANSAS","FRANKLIN",5047,"DEMOCRAT",2674,6140
"422",2000,"ARKANSAS","FRANKLIN",5047,"REPUBLICAN",3277,6140
"425",2000,"ARKANSAS","FULTON",5049,"DEMOCRAT",1976,4108
"426",2000,"ARKANSAS","FULTON",5049,"REPUBLICAN",2036,4108
"429",2000,"ARKANSAS","GARLAND",5051,"DEMOCRAT",15840,35935
"430",2000,"ARKANSAS","GARLAND",5051,"REPUBLICAN",19098,35935
"433",2000,"ARKANSAS","GRANT",5053,"DEMOCRAT",2535,6013
"434",2000,"ARKANSAS","GRANT",5053,"REPUBLICAN",3285,6013
"437",2000,"ARKANSAS","GREENE",5055,"DEMOCRAT",6319,12484
"438",2000,"ARKANSAS","GREENE",5055,"REPUBLICAN",5831,12484
"441",2000,"ARKANSAS","HEMPSTEAD",5057,"DEMOCRAT",3937,7289
"442",2000,"ARKANSAS","HEMPSTEAD",5057,"REPUBLICAN",3257,7289
"445",2000,"ARKANSAS","HOT SPRING",5059,"DEMOCRAT",5527,10981
"446",2000,"ARKANSAS","HOT SPRING",5059,"REPUBLICAN",5042,10981
"449",2000,"ARKANSAS","HOWARD",5061,"DEMOCRAT",2063,4459
"450",2000,"ARKANSAS","HOWARD",5061,"REPUBLICAN",2326,4459
"453",2000,"ARKANSAS","INDEPENDENCE",5063,"DEMOCRAT",5146,11594
"454",2000,"ARKANSAS","INDEPENDENCE",5063,"REPUBLICAN",6145,11594
"457",2000,"ARKANSAS","IZARD",5065,"DEMOCRAT",2587,5032
"458",2000,"ARKANSAS","IZARD",5065,"REPUBLICAN",2301,5032
"461",2000,"ARKANSAS","JACKSON",5067,"DEMOCRAT",3651,6072
"462",2000,"ARKANSAS","JACKSON",5067,"REPUBLICAN",2280,6072
"465",2000,"ARKANSAS","JEFFERSON",5069,"DEMOCRAT",17716,27201
"466",2000,"ARKANSAS","JEFFERSON",5069,"REPUBLICAN",8765,27201
"469",2000,"ARKANSAS","JOHNSON",5071,"DEMOCRAT",3270,7161
"470",2000,"ARKANSAS","JOHNSON",5071,"REPUBLICAN",3657,7161
"473",2000,"ARKANSAS","LAFAYETTE",5073,"DEMOCRAT",1806,3383
"474",2000,"ARKANSAS","LAFAYETTE",5073,"REPUBLICAN",1538,3383
"477",2000,"ARKANSAS","LAWRENCE",5075,"DEMOCRAT",3255,6040
"478",2000,"ARKANSAS","LAWRENCE",5075,"REPUBLICAN",2626,6040
"481",2000,"ARKANSAS","LEE",5077,"DEMOCRAT",2727,4121
"482",2000,"ARKANSAS","LEE",5077,"REPUBLICAN",1351,4121
"485",2000,"ARKANSAS","LINCOLN",5079,"DEMOCRAT",1957,3546
"486",2000,"ARKANSAS","LINCOLN",5079,"REPUBLICAN",1526,3546
"489",2000,"ARKANSAS","LITTLE RIVER",5081,"DEMOCRAT",2883,5263
"490",2000,"ARKANSAS","LITTLE RIVER",5081,"REPUBLICAN",2283,5263
"493",2000,"ARKANSAS","LOGAN",5083,"DEMOCRAT",3283,8096
"494",2000,"ARKANSAS","LOGAN",5083,"REPUBLICAN",4487,8096
"497",2000,"ARKANSAS","LONOKE",5085,"DEMOCRAT",6851,17943
"498",2000,"ARKANSAS","LONOKE",5085,"REPUBLICAN",10606,17943
"501",2000,"ARKANSAS","MADISON",5087,"DEMOCRAT",2055,5628
"502",2000,"ARKANSAS","MADISON",5087,"REPUBLICAN",3387,5628
"505",2000,"ARKANSAS","MARION",5089,"DEMOCRAT",2233,6015
"506",2000,"ARKANSAS","MARION",5089,"REPUBLICAN",3402,6015
"509",2000,"ARKANSAS","MILLER",5091,"DEMOCRAT",6278,13745
"510",2000,"ARKANSAS","MILLER",5091,"REPUBLICAN",7276,13745
"513",2000,"ARKANSAS","MISSISSIPPI",5093,"DEMOCRAT",7107,12586
"514",2000,"ARKANSAS","MISSISSIPPI",5093,"REPUBLICAN",5199,12586
"517",2000,"ARKANSAS","MONROE",5095,"DEMOCRAT",1910,3293
"518",2000,"ARKANSAS","MONROE",5095,"REPUBLICAN",1329,3293
"521",2000,"ARKANSAS","MONTGOMERY",5097,"DEMOCRAT",1438,3739
"522",2000,"ARKANSAS","MONTGOMERY",5097,"REPUBLICAN",2128,3739
"525",2000,"ARKANSAS","NEVADA",5099,"DEMOCRAT",1867,3738
"526",2000,"ARKANSAS","NEVADA",5099,"REPUBLICAN",1796,3738
"529",2000,"ARKANSAS","NEWTON",5101,"DEMOCRAT",1205,3927
"530",2000,"ARKANSAS","NEWTON",5101,"REPUBLICAN",2529,3927
"533",2000,"ARKANSAS","OUACHITA",5103,"DEMOCRAT",5464,10395
"534",2000,"ARKANSAS","OUACHITA",5103,"REPUBLICAN",4739,10395
"537",2000,"ARKANSAS","PERRY",5105,"DEMOCRAT",1648,4007
"538",2000,"ARKANSAS","PERRY",5105,"REPUBLICAN",2114,4007
"541",2000,"ARKANSAS","PHILLIPS",5107,"DEMOCRAT",6018,9313
"542",2000,"ARKANSAS","PHILLIPS",5107,"REPUBLICAN",3154,9313
"545",2000,"ARKANSAS","PIKE",5109,"DEMOCRAT",1604,3971
"546",2000,"ARKANSAS","PIKE",5109,"REPUBLICAN",2275,3971
"549",2000,"ARKANSAS","POINSETT",5111,"DEMOCRAT",4102,7235
"550",2000,"ARKANSAS","POINSETT",5111,"REPUBLICAN",2988,7235
"553",2000,"ARKANSAS","POLK",5113,"DEMOCRAT",2315,7193
"554",2000,"ARKANSAS","POLK",5113,"REPUBLICAN",4600,7193
"557",2000,"ARKANSAS","POPE",5115,"DEMOCRAT",6669,18422
"558",2000,"ARKANSAS","POPE",5115,"REPUBLICAN",11244,18422
"561",2000,"ARKANSAS","PRAIRIE",5117,"DEMOCRAT",1563,3507
"562",2000,"ARKANSAS","PRAIRIE",5117,"REPUBLICAN",1862,3507
"565",2000,"ARKANSAS","PULASKI",5119,"DEMOCRAT",68320,127151
"566",2000,"ARKANSAS","PULASKI",5119,"REPUBLICAN",55866,127151
"569",2000,"ARKANSAS","RANDOLPH",5121,"DEMOCRAT",3019,5877
"570",2000,"ARKANSAS","RANDOLPH",5121,"REPUBLICAN",2673,5877
"573",2000,"ARKANSAS","ST. FRANCIS",5123,"DEMOCRAT",4986,8496
"574",2000,"ARKANSAS","ST. FRANCIS",5123,"REPUBLICAN",3414,8496
"577",2000,"ARKANSAS","SALINE",5125,"DEMOCRAT",12700,32391
"578",2000,"ARKANSAS","SALINE",5125,"REPUBLICAN",18617,32391
"581",2000,"ARKANSAS","SCOTT",5127,"DEMOCRAT",1444,3981
"582",2000,"ARKANSAS","SCOTT",5127,"REPUBLICAN",2399,3981
"585",2000,"ARKANSAS","SEARCY",5129,"DEMOCRAT",1229,4058
"586",2000,"ARKANSAS","SEARCY",5129,"REPUBLICAN",2610,4058
"589",2000,"ARKANSAS","SEBASTIAN",5131,"DEMOCRAT",15555,40159
"590",2000,"ARKANSAS","SEBASTIAN",5131,"REPUBLICAN",23483,40159
"593",2000,"ARKANSAS","SEVIER",5133,"DEMOCRAT",2095,4293
"594",2000,"ARKANSAS","SEVIER",5133,"REPUBLICAN",2111,4293
"597",2000,"ARKANSAS","SHARP",5135,"DEMOCRAT",3236,7126
"598",2000,"ARKANSAS","SHARP",5135,"REPUBLICAN",3698,7126
"601",2000,"ARKANSAS","STONE",5137,"DEMOCRAT",2043,4860
"602",2000,"ARKANSAS","STONE",5137,"REPUBLICAN",2623,4860
"605",2000,"ARKANSAS","UNION",5139,"DEMOCRAT",6261,15609
"606",2000,"ARKANSAS","UNION",5139,"REPUBLICAN",8647,15609
"609",2000,"ARKANSAS","VAN BUREN",5141,"DEMOCRAT",3202,6984
"610",2000,"ARKANSAS","VAN BUREN",5141,"REPUBLICAN",3485,6984
"613",2000,"ARKANSAS","WASHINGTON",5143,"DEMOCRAT",21425,51459
"614",2000,"ARKANSAS","WASHINGTON",5143,"REPUBLICAN",28231,51459
"617",2000,"ARKANSAS","WHITE",5145,"DEMOCRAT",8342,22150
"618",2000,"ARKANSAS","WHITE",5145,"REPUBLICAN",13170,22150
"621",2000,"ARKANSAS","WOODRUFF",5147,"DEMOCRAT",1699,2651
"622",2000,"ARKANSAS","WOODRUFF",5147,"REPUBLICAN",898,2651
"625",2000,"ARKANSAS","YELL",5149,"DEMOCRAT",3062,6479
"626",2000,"ARKANSAS","YELL",5149,"REPUBLICAN",3223,6479
"629",2000,"CALIFORNIA","ALAMEDA",6001,"DEMOCRAT",342889,494336
"630",2000,"CALIFORNIA","ALAMEDA",6001,"REPUBLICAN",119279,494336
"633",2000,"CALIFORNIA","ALPINE",6003,"DEMOCRAT",265,586
"634",2000,"CALIFORNIA","ALPINE",6003,"REPUBLICAN",281,586
"637",2000,"CALIFORNIA","AMADOR",6005,"DEMOCRAT",5906,15464
"638",2000,"CALIFORNIA","AMADOR",6005,"REPUBLICAN",8766,15464
"641",2000,"CALIFORNIA","BUTTE",6007,"DEMOCRAT",31338,83721
"642",2000,"CALIFORNIA","BUTTE",6007,"REPUBLICAN",45584,83721
"645",2000,"CALIFORNIA","CALAVERAS",6009,"DEMOCRAT",7093,18876
"646",2000,"CALIFORNIA","CALAVERAS",6009,"REPUBLICAN",10599,18876
"649",2000,"CALIFORNIA","COLUSA",6011,"DEMOCRAT",1745,5590
"650",2000,"CALIFORNIA","COLUSA",6011,"REPUBLICAN",3629,5590
"653",2000,"CALIFORNIA","CONTRA COSTA",6013,"DEMOCRAT",224338,381478
"654",2000,"CALIFORNIA","CONTRA COSTA",6013,"REPUBLICAN",141373,381478
"657",2000,"CALIFORNIA","DEL NORTE",6015,"DEMOCRAT",3117,8294
"658",2000,"CALIFORNIA","DEL NORTE",6015,"REPUBLICAN",4526,8294
"661",2000,"CALIFORNIA","EL DORADO",6017,"DEMOCRAT",26220,72136
"662",2000,"CALIFORNIA","EL DORADO",6017,"REPUBLICAN",42045,72136
"665",2000,"CALIFORNIA","FRESNO",6019,"DEMOCRAT",95059,220835
"666",2000,"CALIFORNIA","FRESNO",6019,"REPUBLICAN",117342,220835
"669",2000,"CALIFORNIA","GLENN",6021,"DEMOCRAT",2498,8711
"670",2000,"CALIFORNIA","GLENN",6021,"REPUBLICAN",5795,8711
"673",2000,"CALIFORNIA","HUMBOLDT",6023,"DEMOCRAT",24851,55972
"674",2000,"CALIFORNIA","HUMBOLDT",6023,"REPUBLICAN",23219,55972
"677",2000,"CALIFORNIA","IMPERIAL",6025,"DEMOCRAT",15489,28937
"678",2000,"CALIFORNIA","IMPERIAL",6025,"REPUBLICAN",12524,28937
"681",2000,"CALIFORNIA","INYO",6027,"DEMOCRAT",2652,7815
"682",2000,"CALIFORNIA","INYO",6027,"REPUBLICAN",4713,7815
"685",2000,"CALIFORNIA","KERN",6029,"DEMOCRAT",66003,182308
"686",2000,"CALIFORNIA","KERN",6029,"REPUBLICAN",110663,182308
"689",2000,"CALIFORNIA","KINGS",6031,"DEMOCRAT",11041,28335
"690",2000,"CALIFORNIA","KINGS",6031,"REPUBLICAN",16377,28335
"693",2000,"CALIFORNIA","LAKE",6033,"DEMOCRAT",10717,20919
